date,total_articles,total_spend,avg_per_article
2026-03-20,141,0.261883,0.001857
2026-03-20,143,0.263795,0.001845
2026-03-20,143,0.263795,0.001845
2026-03-20,143,0.263795,0.001845
2026-03-20,147,0.269395,0.001833
2026-03-20,150,0.273595,0.001824
2026-03-20,152,0.313595,0.002063
2026-03-20,152,0.313595,0.002063
2026-03-21,178,0.528970,0.002972
2026-03-21,178,0.528970,0.002972
2026-03-21,188,0.653170,0.003474
2026-03-22,202,0.706803,0.003499
2026-03-22,206,0.766803,0.003722
2026-03-22,210,0.809603,0.003855
2026-03-23,228,0.963560,0.004226
